text_1,text_2
"Parents Evening, I didn't go as we where tight on times to get me there, but my mother gave me all the information I need. All the normal stuff like try not to stink of fags when you walk into the class room, and show some respect for the celling, use all four legs of the chair, all the normal. My favoruite quote from the evening; 'he has a wicked sense of humor', my business studies teacher. She quite liked the idea that it's cheaper to use robots because they can work in the dark. (Bit of a nerdy business joke, so don't feel gulity if you don't get it.) I know I haven't blogged for a little while, been","I can do excitement! I can do excitement! Well. Perhaps not. But at least I tried. But I am looking forward to ice-skating otmorrow! I've only ever been once before, so I'm begging people, please don't dessert me tomorrow!' I'll probably spend most of the day flat on my back, but hey! It's all fun really. I#'ve even bought a little disposable camera to capture everyone making prats of themselves, he he! Anyway! Nicki, that song is probably by Good Charlotte? If not, I'm guessing that's it's Drops of Jupiter, by Train? But it's probably the first one! lol. Anyway, busy day at work today, insane people wanteing to buy the most bizarro things meant I was up and down a ladder all day. Anyway, too knackered to talk and my fingers are all bleeding, I must go and bandage them up, till tomorrow peoples!"
"Party Girl is a B film in A wrapping paper - even the title suggests a tawdry B picture . But it's in color and stars Robert Taylor , Cyd Charisse , Lee J . Cobb , and John Ireland . Taylor plays an attorney whose hip was damaged in a boyhood accident . He's become a powerful mob mouthpiece when he falls in love with a showgirl ( Charisse ) . When he wants out of the mob life , he finds that the mobster ( Cobb ) is unwilling to let him go . Directed by Nicholas Ray , the film flirts more with film noir than B status and has some excellent performances , particularly by Taylor and Lee J . Cobb . Cobb is quite terrifying as a violent thug who doesn't telegraph his violence , making him all","Who would expect a screenplay / story by Carl Ellsworth ( ' Buffy the Vampire Slayer ' ) directed by horror master Wes Craven to be an intelligent thriller ? Yet RED EYE is precisely that . This a tight conversational duet for two actors with accompaniment that slips up on the viewer so surely that the terrifying climax is somewhat of a relief from the preceding tension . Rachael McAdams as the heroine proves she can sustain a fine character development from first appearance through the suspense to the last screen frame . Likewise , Cillian Murphy uses not only his talent as an actor but also his clear blue-eyed innocence to foreshadow the evil underneath . Since the majority of the film takes place aboard an airplane in flight ( the red eye from Texas to Miami ) , the tension for the story rests heavily with these two actors . They succeed in every way , as does Craven in turning his directorial skills to intellectual rather than physical terror ."
"Toasting the Professor urlLink Mr. Bill Cork has blogged about the annual Tolkien birthday urlLink toast on January 3rd, 2003. I am registered for this toast, as I was last year. Since this will be the commemoration of the Professor's eleventy-first birthday, various people are planning parties of special magnificence. However, I've taken a slightly different tack. If anybody happens to be in Pittsburgh that day, the Holy Sacrifice of the Mass will be offered for the Professor's soul beginning at 5:15 pm at the Pittsburgh Oratory. if you can't make it, remember to at least give him a moment of prayer.","The Feast of St. Thomas, Apostle and Martyr is today. There is information on him urlLink here . Returning, then, to what I said when I began, we see now how it was that our Lord praised easiness of belief, and condemned hardness of belief. To be easy in believing is nothing more or less than to have been ready to inquire; to be hard of belief is nothing else but to have been loth and reluctant to inquire. Those whose faith He praised had no stronger evidence than those whose unbelief He condemned; but they had used their eyes, used their reason, exerted their minds, and persevered in inquiry till they found; while the others, whose unbelief He condemned,"
"Natural Disaster This past saturday, i woke up to a limb hanging from my backyard pecan tree. This kinda freaked me out. It took me a couple of days to get it fully chopped up, and out to the front curb. Just my luck that such a thing would happen the weekend before heavy trash pick-up. Sweet.","Happy St. Patrick's Day to All!!!!!! What better way to celebrate st. patrick cleansing the land from snakes and converting the heathens than to down a frosty one!!! haha....So last night I went to the ABC 50th anniversary celebration....basically it was anyone who has ever worked for abc (actors, crews, producers) and then there was me...haha....you know you are in for an evening when you walk down the red carpet right behind john tesh (!!!!!) and head of the class's simone (the red head for all your who forgot that wonderful show). Anyway walking inside was werid cause you'd look over and wow its carol (tracy gold) from growing pains, then walk a little more and there is d.j. from rosanne. Waiting for the show to begin was okay for a while but the lobby soon grew over crowded, but i did get a chance to see"
"To me, it's just another cycle of life, and whatever you can draw from it, you should. If you feel to get close to everyone, then by all means do. That will be a hellacious life, and I can already tell you that some will take it the wrong way, but if you think that is the answer to this short life cycle, then by all means take it. What do you want to do with your life? If your grandfather's death is telling you this, then there actually must be something there that you're thinking about? A major change? A few smaller ones? I have no idea. The fact is, and for all of what you may draw from this scenario, that you need to live for yourself, and whatever you feel you need",Lots of random quotes. None of them mine. Just trying to cheer myself up. Not really working. This is kind of one of those weeks that's just like 'This week sucks for no apparent reason' kind of weeks. The grass is always greener when you remember to water it Artificial Intelligence is no match for Natural Stupidity. i like work. it fascinates me. i can sit and look at it for hours. Birthdays are good for you. Statistics show that the people who have the most live the longest. Funnier than a thingy-shaped turnip Make sure your mind isn't so open that your brains fall out. There is nothing so annoying as to have two people go right on talking when you're interrupting People who think they know everything are annoying to those of us who actually do Laughing stock: cattle with
"I'm not too obsessed with Prince of Tennis am I? I know all the characters' birthdays. Erm...Ryoma's will be on the 24th of December (Happy B-day, Ryoma-kun! Ganbatte!) and that Sakuno's will be coming soon in January...erm.. I'm kinda strange, no? I'm one of the only ppl in the grade that watch anime. Frankly....I'm the only girl that watches anime in the grade...Huh..... I think i'm also the only one to play rpg games like FF7 and all the Final Fantasy series as well as Chrono Trigger and Chrono Cross.... Actually...Stacey used to play FF7 too.... I'm getting confused. I'm much more different than the other girls. Instead of posters of male celebrities in my room, the majority are anime posters (2 Prince of Tennis posters, one Inu Yasha, Gundam Endless Waltz and Naruto...I used to have a Sailor Moon roll out poster but i gave that away...it was actaully quite pretty with all the flowing blue background and smooth yet blurry collections of dreamy colours....).","So, it's 7:13 on this fine monday morning and I'm at school, waiting in the library for the other people doing the math project with me to show. I've been here since 6:55 and they said they would arrive at about 7. Um, I don't see them. Thats majorly not cool. This thing is due 7th period. Happy belated, sorta, birthday Rosie."
"What was I thinking?????? From: Suzanne Adams@ECT on 08/15/2000 03:41 PM To: Kay Mann/Corp/Enron@ENRON cc: Subject: Re: VEPCO comparison Are you kidding, free food and booze? We usually have a good turnout. Kay Mann@ENRON 08/15/2000 03:36 PM To: Suzanne Adams/HOU/ECT@ECT cc: Subject: Re: VEPCO comparison I got my hair cut - it feels so good to get it cut. I'm planning on going as scheduled. Do lots of people go to this? From: Suzanne Adams@ECT on 08/15/2000 03:29 PM To: Kay Mann/Corp/Enron@ENRON cc: Subject: Re: VEPCO comparison Oh, I found them. My point was that you don't have to go to the trouble of attaching them. You can just tell me where they are and I can go from there. No sense making it more difficult than it is. Then again, this might not be difficult for you. Did you get your locks cut? Going to the happy hour promptly at 5:30? I'm there. Ready for a margarita! Kay Mann@ENRON 08/15/2000 03:12 PM To: Suzanne Adams/HOU/ECT@ECT cc: Subject: Re: VEPCO comparison Both are in","You are now on the Wait List for Wellhead to Burner Tip, beginning on April 24 - 25, 2001 If space becomes available, you will be notified by e-mail. If you have any questions, please call the Development Center Team at 713-853-0357. Thank you."
"Lisa, I haven't gotten the executed docs back, but I'll send you the electronic version if that works for you. Timing is as follows: Northwestern gives 30 days notice of readiness to close. If the closing does not occur before July 16, they make another $5m payment. 10 days after notice, they fund the balance into escrow, and we close 20 days later. If they fail to close on or before Sept 1, they forfeit their previous payments, unless we have failed to provide the GE consent to assignment, which we are working on now. I've given this timeline without looking at the doc, so I will let you know if I missed something. Hopes this helps. Kay From: Lisa Bills/ENRON@enronXgate on 05/22/2001 02:41 PM To: Kay Mann/Corp/Enron@Enron, Ben Jacoby/HOU/ECT@ECT cc: Herman Manis/ENRON@enronXgate, Roseann Engeldorf/ENRON@enronXgate, Catherine Clark/ENRON@enronXgate Subject: Northwestern Please provide an update as to the status of the execution of the PSA with Northwestern for the forward purchase of two turbines. It has been some time since I",Amerex is correct. Deal has been changed. Evelyn Metoyer@ENRON 01/16/2001 01:50 PM To: Kate.Symes@enron.com cc: Subject: 1/16/0` Checkout Mark Fischer deal 497791 Amerex shows price as $155 and enpower has $135
"Around Christmas I had watched COMMANDO LEOPARD ( 1985 ) , a passable low-brow German-Italian war flick ; that film was the middle part of a trilogy and , back then , I had expressed a wish to check out the remaining two entries – CODENAME : WILDGEESE ( 1984 ) and THE COMMANDER ( 1988 ) . I now happened upon the latter , but the result was even less rewarding ! Lewis Collins is once again the hero and , as ever , producer Erwin C . Dietrich manages to assemble a fair line-up of actors in support : Lee Van Cleef , Donald Pleasence , Manfred Lehmann and John Steiner ( both from COMMANDO LEOPARD ) , Paul","Between the mid-1950s and mid-80s , Italian cinema was replete with imitations of big Hollywood box-office successes and this one here is not just a surprisingly decent DEATH WISH ( 1974 ; released a mere three months earlier ! ) clone but one of the better poliziotteschi I've watched so far . Besides , it is the second of ten collaborations between star Franco Nero and director Castellari - of which I've caught up with 3 and will soon also get to THE SHARK HUNTER ( 1979 ) and KEOMA ( 1976 ) ! Aren't you all envious ? After an overly intense opening 15 minutes ( which occasionally gives rise to some unintentional hilarity ) in which we witness everyman Nero being repeatedly victimized by a band of vicious criminals , he decides to take the matter into his own hands , defying the careless ( and quite possibly complicit ) police force"
"Mark: I have been in touch with Sami Arap who is now Andrea Bertone's boss. There are currently two seminars scheduled in Sao Paulo aimed for the commercial group and the lawyers as follows: 1. March 17 - Milbank Tweed (Securitization) 2. March 27 - Bracewell (legal issues for contracts) I think I should attend these and was considering a trip to arrive before the start and after the termination of the seminars (approx March 15 - March 28). In the interim I could (hopefully) wrap up financial issues with Tozzini and address at length physical issues with Tozzini. Also, I can speak with commercial groups and plan a ""swap""seminar for the commercial and legal groups (date TBD but probably after the legal seminar in San Antonio). Please let me know if the timing works for our group in Houston and if you have other thoughts. Hope","Last week, I distributed a presentation that the Brattle Group gave before the California Inquisition (i.e., legislative gas oversight committee looking into the gas price spikes at the Cal border). The Brattle Group is a consulting firm that Edison has long used to beat up on SoCalGas (recall that Edison used to be a big gas customer when it owned power plants). Edison ""arranged"" for the Brattle Group to be the star witness at the Cal Leg gas hearing. Their job was to set up El Paso and Dynegy for the hit at hearings that took place the following day. Their message was simple (and simplistic): El Paso and Dynegy have market power. They have used the market power to drive up basis and thus the price of gas at the border (to ""obscene"" levels). That, in turn, has driven up electricity prices. Ken Lay is giving a gas talk tomorrow, and Rob Bradley asked that I provide the alternative view to the Edison/Brattle rant,"
